,text,entities,relations,Comments,id,label,start_offset,end_offset
0,"This post is also available in:      日本語 (Japanese)  CTB-Locker is a well-known ransomware Trojan used by crimeware groups to encrypt files on the victim's endpoints and demand ransom payment to decrypt the files back to their original state, but most antiviruses detect it by mistake as CryptoLocker (only one vendor correctly detects it as CTB-Locker).","[{'id': 45800, 'label': 'malware', 'start_offset': 288, 'end_offset': 300}, {'id': 45801, 'label': 'malware', 'start_offset': 53, 'end_offset': 63}, {'id': 45802, 'label': 'malware', 'start_offset': 342, 'end_offset': 352}]",[],[],45800.0,malware,288.0,300.0
1,The attack vector is very basic and repeats itself: It begins with a spear phishing email sent with SCR attachments (double zipped).,"[{'id': 48941, 'label': 'attack-pattern', 'start_offset': 69, 'end_offset': 115}]",[],[],48941.0,attack-pattern,69.0,115.0
2,Once executed by the user the first stage malware downloads and executes the ransomware from a fixed hardcoded server list.,[],[],[],0.0,safe,0.0,0.0
3, The first known campaign was launched by Crimeware on November 2014.,"[{'id': 45806, 'label': 'TIME', 'start_offset': 55, 'end_offset': 68}, {'id': 48942, 'label': 'malware', 'start_offset': 42, 'end_offset': 51}]",[],[],45806.0,TIME,55.0,68.0
4,The first stage downloaded the ransomware from these sites:,[],[],[],0.0,safe,0.0,0.0
5," A very serious campaign was launched between January 19, 2015 and January 20, 2015, and  Palo Alto Networks Enterprise Security Platform has discovered more than 1000 unique attacks since.","[{'id': 22, 'label': 'identity', 'start_offset': 90, 'end_offset': 108}, {'id': 44570, 'label': 'TIME', 'start_offset': 46, 'end_offset': 62}, {'id': 44571, 'label': 'TIME', 'start_offset': 67, 'end_offset': 83}]",[],[],22.0,identity,90.0,108.0
6,"The attacker used a polymorphic malware builder to generate malware with a unique hash for each victim, preventing signature-based solutions from detecting the new attacks before it was too late for the victim.",[],[],[],0.0,safe,0.0,0.0
7,"This tactic is a nightmare for legacy security products that are based on legacy techniques such as bytes signatures, since they can only detect attacks after the damage is done instead of preventing it as a true solution should.",[],[],[],0.0,safe,0.0,0.0
8, Palo Alto Networks Enterprise Security Platform offers multilayer protection to prevent this attack along with other attacks without the need for prior knowledge of the specific attack.,"[{'id': 31, 'label': 'identity', 'start_offset': 1, 'end_offset': 19}]",[],[],31.0,identity,1.0,19.0
9, We can see here that server hostnames were changed but they didn’t change the server IP address – see the attached file with results for files from last week’s campaign from VirusTotal.,"[{'id': 45807, 'label': 'SOFTWARE', 'start_offset': 175, 'end_offset': 185}]",[],[],45807.0,SOFTWARE,175.0,185.0
10,Most legacy security programs could not detect this malware at the time it was posted.,[],[],[],0.0,safe,0.0,0.0
11,"If you re-test these hashes again from last week you can see an average of 49/57 engines that detect last week’s threat – but that’s too little, too late for anyone who already lost data.",[],[],[],0.0,safe,0.0,0.0
12," This campaign started earlier today, and the malware uses the same techniques and even the same IOCs:  And only added two new hostnames:","[{'id': 45808, 'label': 'TIME', 'start_offset': 23, 'end_offset': 36}]",[],[],45808.0,TIME,23.0,36.0
13, By now you shouldn’t be surprised that one of them is on the same known malicious IP address.,[],[],[],0.0,safe,0.0,0.0
14,"We found 147 new unique pieces of malware today alone, two of them fully undetectable by the legacy security solutions in VirusTotal and most of them barely detected by one vendor (few have 4/57 detection rate).","[{'id': 44574, 'label': 'SOFTWARE', 'start_offset': 122, 'end_offset': 132}]",[],[],44574.0,SOFTWARE,122.0,132.0
15,See below:,[],[],[],0.0,safe,0.0,0.0
16, So basically you have two choices:,[],[],[],0.0,safe,0.0,0.0
17, The most surprising fact about this campaign is that almost all the IOCs haven’t been changed:  For those still using legacy solutions we’ve attached two lists of SHA256 hashes in a text file format for reference.,[],[],[],0.0,safe,0.0,0.0
18,"One list shows the new campaign, which continues to progress.",[],[],[],0.0,safe,0.0,0.0
19,"The other list is of last week’s campaign by the same attackers (exhaustive or close to it).  Palo Alto Networks Enterprise Security Platform would have stopped this ransomware attack campaign thanks to the platform’s unique integration between the network, endpoint and the cloud to maximize security.","[{'id': 45809, 'label': 'identity', 'start_offset': 94, 'end_offset': 112}]",[],[],45809.0,identity,94.0,112.0
20,"Attacks aren't getting any less sophisticated, so it is time to leave legacy security solutions behind and upgrade to real, prevention-based security.",[],[],[],0.0,safe,0.0,0.0
21," Sign up to receive the latest news, cyber threat intelligence and research from us  Please enter your email address!",[],[],[],0.0,safe,0.0,0.0
22," Please mark, I'm not a robot!",[],[],[],0.0,safe,0.0,0.0
23,"By submitting this form, you agree to our Terms of Use and acknowledge our Privacy Statement.  ",[],[],[],0.0,safe,0.0,0.0
24,"This post is also available in:      日本語 (Japanese)  Over the past six months, we’ve seen a major increase in the number of attack campaigns with the ultimate goal of mining cryptocurrency.",[],[],[],0.0,safe,0.0,0.0
25,It’s a subject Unit 42 has been tracking in the past year:,"[{'id': 45810, 'label': 'identity', 'start_offset': 15, 'end_offset': 22}]",[],[],45810.0,identity,15.0,22.0
26," So, what is driving a widespread shift from attackers and creating a significant trend in the industry?",[],[],[],0.0,safe,0.0,0.0
27,There are three factors at work:,[],[],[],0.0,safe,0.0,0.0
28," To answer the question in more detail, it’s important to put yourself into the criminal’s shoes and consider what alternative routes they have to monetize infections.",[],[],[],0.0,safe,0.0,0.0
29,"In this brief, we’ll share how this trend came to fruition, why it’s so prevalent, and how security professionals and defenders can keep an eye out for this rising type of threat.",[],[],[],0.0,safe,0.0,0.0
30, How Attacks Monetize Infections,[],[],[],0.0,safe,0.0,0.0
31,"While targeted attacks gain the most attention from researchers and media, the majority of malware infections are untargeted and even indiscriminate.",[],[],[],0.0,safe,0.0,0.0
32,"Instead of seeking out specific targets, many criminals aim to infect as many systems as possible and then turn those infections into cash.",[],[],[],0.0,safe,0.0,0.0
33,"This has been true for over a decade, although the mechanisms available to criminals have shifted in that time.",[],[],[],0.0,safe,0.0,0.0
34,"To understand where we are now, it helps to look at how we got here, and to look at the evolution of common cybercriminal activities.",[],[],[],0.0,safe,0.0,0.0
35,"Back in the early 2000s, some of the earliest “botnet herders” made their income by relaying spam emails through infected computers.","[{'id': 45768, 'label': 'attack-pattern', 'start_offset': 93, 'end_offset': 104}, {'id': 44575, 'label': 'TIME', 'start_offset': 12, 'end_offset': 23}]",[],[],45768.0,attack-pattern,93.0,104.0
36,"Over time, that business became less profitable due to anti-spam controls and ISPs preventing infected systems from directly relaying emails.",[],[],[],0.0,safe,0.0,0.0
37,"In the mid-2000s, criminals made great profits from using Banking Trojans to steal credentials for online banking websites, and subsequently draining the accounts’ associated funds.","[{'id': 45811, 'label': 'TIME', 'start_offset': 7, 'end_offset': 16}, {'id': 45812, 'label': 'attack-pattern', 'start_offset': 77, 'end_offset': 94}]",[],[],45811.0,TIME,7.0,16.0
38,"This account takeover activity continues today, but various anti-fraud measures and law enforcement actions have made it less profitable and riskier for criminals.",[],[],[],0.0,safe,0.0,0.0
39,"Another aspect of Banking Trojan infections is that, while the criminal may be infecting hosts indiscriminately, the value of the host greatly depends on the individual who owns it, and the criminals’ ability to “cash out” their bank account.",[],[],[],0.0,safe,0.0,0.0
40,"Figure 1 is a capture from a book I wrote with some colleagues in 2008, “Cyber Fraud: Tactics, Techniques, and Procedures.”","[{'id': 51804, 'label': 'TIME', 'start_offset': 66, 'end_offset': 70}]",[],[],51804.0,TIME,66.0,70.0
41,It shows the price that a criminal enterprise called IFRAME DOLLARS was charging to infect computers in various countries at that time.,"[{'id': 44577, 'label': 'threat-actor', 'start_offset': 53, 'end_offset': 67}]",[],[],44577.0,threat-actor,53.0,67.0
42,"Figure 1: Capture from Cyber Fraud: Tactics, Techniques, and Procedures showing prices of host infections by country.",[],[],[],0.0,safe,0.0,0.0
43,"In 2007, the infection of a system in Australia went for US$0.60, while an infection in Poland was only a fraction of the cost, at US$0.096.","[{'id': 45814, 'label': 'location', 'start_offset': 38, 'end_offset': 48}, {'id': 45815, 'label': 'location', 'start_offset': 88, 'end_offset': 94}, {'id': 45813, 'label': 'TIME', 'start_offset': 3, 'end_offset': 7}]",[],[],45814.0,location,38.0,48.0
44,The difference in price represented the difference in value: criminals were able to make more money through a Banking Trojan account takeover from an Australian infection than they could in Poland.,"[{'id': 45771, 'label': 'malware', 'start_offset': 110, 'end_offset': 124}, {'id': 45772, 'label': 'attack-pattern', 'start_offset': 125, 'end_offset': 141}, {'id': 44579, 'label': 'location', 'start_offset': 190, 'end_offset': 196}, {'id': 44580, 'label': 'location', 'start_offset': 150, 'end_offset': 160}]",[],[],45771.0,malware,110.0,124.0
45,"As anti-fraud protections evolved, so did the criminals.",[],[],[],0.0,safe,0.0,0.0
46,Fast forward five years to 2013 and the rise of the Ransomware business model,"[{'id': 44581, 'label': 'TIME', 'start_offset': 27, 'end_offset': 31}]",[],[],44581.0,TIME,27.0,31.0
47,This new way to generate profit had two major advantages over account takeovers:  ,[],[],[],0.0,safe,0.0,0.0
48,"Put another way, the ransomware model represented both increased efficiency and decreased risk in monetizing the infection.",[],[],[],0.0,safe,0.0,0.0
49,"Anyone who’s been paying attention to cybercrime since 2013 is aware of the ransomware surge, infecting systems throughout the world and plaguing networks’ administrators.","[{'id': 44582, 'label': 'TIME', 'start_offset': 55, 'end_offset': 59}]",[],[],44582.0,TIME,55.0,59.0
50,"While only a tiny fraction (possibly 1 in 1000) of systems infected with a banking Trojan pay out for attackers, a much higher portion of ransomware victims pay to get their files back.",[],[],[],0.0,safe,0.0,0.0
51,"While US$300 payments are less than a single account takeover could return, ransomware makes greater returns due to the volume and decreased risk in this new business model.",[],[],[],0.0,safe,0.0,0.0
52,Cybercriminals have become good business people: they saw the benefits and embraced the change.,[],[],[],0.0,safe,0.0,0.0
53,Enter “The Bubble” – Where We Are Now,[],[],[],0.0,safe,0.0,0.0
54,"In the last two years, but particularly in the last six months, the price of bitcoin and other cryptocurrencies experienced a massive price surge with respect to the U.S. dollar and other fiat currencies.",[],[],[],0.0,safe,0.0,0.0
55,"Here’s the chart for bitcoin over the last two years, showing a rise of 2,000% to 4,000% in the versus the U.S. dollar.","[{'id': 44585, 'label': 'SOFTWARE', 'start_offset': 21, 'end_offset': 28}]",[],[],44585.0,SOFTWARE,21.0,28.0
56,"Figure 2: Price of bitcoin in U.S. dollars from CoinMarketCap  While botnets mining cryptocurrency is nothing new, the technique was much less profitable than using ransomware.","[{'id': 45817, 'label': 'SOFTWARE', 'start_offset': 19, 'end_offset': 26}, {'id': 45818, 'label': 'SOFTWARE', 'start_offset': 48, 'end_offset': 60}]",[],[],45817.0,SOFTWARE,19.0,26.0
57,"In fact, with the rise of specialized bitcoin mining hardware, no regular PC can make any significant amount of money for an attacker.",[],[],[],0.0,safe,0.0,0.0
58,"However, there are many other “crypto coins” in the market today.",[],[],[],0.0,safe,0.0,0.0
59,The one we see mined most by attackers is called Monero.,"[{'id': 45819, 'label': 'SOFTWARE', 'start_offset': 49, 'end_offset': 55}]",[],[],45819.0,SOFTWARE,49.0,55.0
60,"In contrast to bitcoin, Monero was designed to enable private transactions using a closed ledger, and its mining algorithm is still mined effectively by both PC CPUs and GPUs.","[{'id': 45820, 'label': 'SOFTWARE', 'start_offset': 24, 'end_offset': 30}]",[],[],45820.0,SOFTWARE,24.0,30.0
61,"As the chart below shows, Monero has risen even faster than bitcoin in price in the last two years, with more than a 30,000% gain in U.S. dollars.","[{'id': 45773, 'label': 'TIME', 'start_offset': 84, 'end_offset': 98}, {'id': 44583, 'label': 'SOFTWARE', 'start_offset': 26, 'end_offset': 32}, {'id': 44584, 'label': 'SOFTWARE', 'start_offset': 60, 'end_offset': 67}]",[],[],45773.0,TIME,84.0,98.0
62,Figure 3: Price of Monero in U.S. dollars from CoinMarketCap  ,"[{'id': 45821, 'label': 'SOFTWARE', 'start_offset': 19, 'end_offset': 25}, {'id': 45823, 'label': 'SOFTWARE', 'start_offset': 47, 'end_offset': 60}]",[],[],45821.0,SOFTWARE,19.0,25.0
