,text,label,word_count,char_length,tokenize_text
0,"This post is also available in:      日本語 (Japanese)  CTB-Locker is a well-known ransomware Trojan used by crimeware groups to encrypt files on the victim's endpoints and demand ransom payment to decrypt the files back to their original state, but most antiviruses detect it by mistake as CryptoLocker (only one vendor correctly detects it as CTB-Locker).",malware,55,354,post also available 日本語 japanese ctblocker wellknown ransomware trojan used crimeware group encrypt file victim endpoint demand ransom payment decrypt file back original state antiviruses detect mistake cryptolocker one vendor correctly detects ctblocker
1,The attack vector is very basic and repeats itself: It begins with a spear phishing email sent with SCR attachments (double zipped).,attack-pattern,22,132,attack vector basic repeat begin spear phishing email sent scr attachment double zipped
2,Once executed by the user the first stage malware downloads and executes the ransomware from a fixed hardcoded server list.,safe,20,123,executed user first stage malware downloads executes ransomware fixed hardcoded server list
3, The first known campaign was launched by Crimeware on November 2014.,TIME,11,69,first known campaign launched crimeware november
4,The first stage downloaded the ransomware from these sites:,safe,9,59,first stage downloaded ransomware site
5," A very serious campaign was launched between January 19, 2015 and January 20, 2015, and  Palo Alto Networks Enterprise Security Platform has discovered more than 1000 unique attacks since.",identity,29,189,serious campaign launched january january palo alto network enterprise security platform discovered unique attack since
6,"The attacker used a polymorphic malware builder to generate malware with a unique hash for each victim, preventing signature-based solutions from detecting the new attacks before it was too late for the victim.",safe,33,210,attacker used polymorphic malware builder generate malware unique hash victim preventing signaturebased solution detecting new attack late victim
7,"This tactic is a nightmare for legacy security products that are based on legacy techniques such as bytes signatures, since they can only detect attacks after the damage is done instead of preventing it as a true solution should.",safe,39,229,tactic nightmare legacy security product based legacy technique byte signature since detect attack damage done instead preventing true solution
8, Palo Alto Networks Enterprise Security Platform offers multilayer protection to prevent this attack along with other attacks without the need for prior knowledge of the specific attack.,identity,27,186,palo alto network enterprise security platform offer multilayer protection prevent attack along attack without need prior knowledge specific attack
9, We can see here that server hostnames were changed but they didn’t change the server IP address – see the attached file with results for files from last week’s campaign from VirusTotal.,SOFTWARE,32,186,see server hostnames changed didnt change server ip address see attached file result file last week campaign virustotal
10,Most legacy security programs could not detect this malware at the time it was posted.,safe,15,86,legacy security program could detect malware time posted
11,"If you re-test these hashes again from last week you can see an average of 49/57 engines that detect last week’s threat – but that’s too little, too late for anyone who already lost data.",safe,35,187,retest hash last week see average engine detect last week threat thats little late anyone already lost data
12," This campaign started earlier today, and the malware uses the same techniques and even the same IOCs:  And only added two new hostnames:",TIME,23,137,campaign started earlier today malware us technique even iocs added two new hostnames
13, By now you shouldn’t be surprised that one of them is on the same known malicious IP address.,safe,18,94,shouldnt surprised one known malicious ip address
14,"We found 147 new unique pieces of malware today alone, two of them fully undetectable by the legacy security solutions in VirusTotal and most of them barely detected by one vendor (few have 4/57 detection rate).",SOFTWARE,36,211,found new unique piece malware today alone two fully undetectable legacy security solution virustotal barely detected one vendor detection rate
15,See below:,safe,2,10,see
16, So basically you have two choices:,safe,6,35,basically two choice
17, The most surprising fact about this campaign is that almost all the IOCs haven’t been changed:  For those still using legacy solutions we’ve attached two lists of SHA256 hashes in a text file format for reference.,safe,36,214,surprising fact campaign almost iocs havent changed still using legacy solution weve attached two list sha hash text file format reference
18,"One list shows the new campaign, which continues to progress.",safe,10,61,one list show new campaign continues progress
19,"The other list is of last week’s campaign by the same attackers (exhaustive or close to it).  Palo Alto Networks Enterprise Security Platform would have stopped this ransomware attack campaign thanks to the platform’s unique integration between the network, endpoint and the cloud to maximize security.",identity,46,302,list last week campaign attacker exhaustive close palo alto network enterprise security platform would stopped ransomware attack campaign thanks platform unique integration network endpoint cloud maximize security
20,"Attacks aren't getting any less sophisticated, so it is time to leave legacy security solutions behind and upgrade to real, prevention-based security.",safe,22,150,attack arent getting le sophisticated time leave legacy security solution behind upgrade real preventionbased security
21," Sign up to receive the latest news, cyber threat intelligence and research from us  Please enter your email address!",safe,19,117,sign receive latest news cyber threat intelligence research u please enter email address
22," Please mark, I'm not a robot!",safe,6,30,please mark im robot
23,"By submitting this form, you agree to our Terms of Use and acknowledge our Privacy Statement.  ",safe,16,95,submitting form agree term use acknowledge privacy statement
24,"This post is also available in:      日本語 (Japanese)  Over the past six months, we’ve seen a major increase in the number of attack campaigns with the ultimate goal of mining cryptocurrency.",safe,31,189,post also available 日本語 japanese past six month weve seen major increase number attack campaign ultimate goal mining cryptocurrency
25,It’s a subject Unit 42 has been tracking in the past year:,identity,12,58,subject unit tracking past year
26," So, what is driving a widespread shift from attackers and creating a significant trend in the industry?",safe,17,104,driving widespread shift attacker creating significant trend industry
27,There are three factors at work:,safe,6,32,three factor work
28," To answer the question in more detail, it’s important to put yourself into the criminal’s shoes and consider what alternative routes they have to monetize infections.",safe,26,167,answer question detail important put criminal shoe consider alternative route monetize infection
29,"In this brief, we’ll share how this trend came to fruition, why it’s so prevalent, and how security professionals and defenders can keep an eye out for this rising type of threat.",safe,32,179,brief well share trend came fruition prevalent security professional defender keep eye rising type threat
30, How Attacks Monetize Infections,safe,4,32,attack monetize infection
31,"While targeted attacks gain the most attention from researchers and media, the majority of malware infections are untargeted and even indiscriminate.",safe,21,149,targeted attack gain attention researcher medium majority malware infection untargeted even indiscriminate
32,"Instead of seeking out specific targets, many criminals aim to infect as many systems as possible and then turn those infections into cash.",safe,23,139,instead seeking specific target many criminal aim infect many system possible turn infection cash
33,"This has been true for over a decade, although the mechanisms available to criminals have shifted in that time.",safe,19,111,true decade although mechanism available criminal shifted time
34,"To understand where we are now, it helps to look at how we got here, and to look at the evolution of common cybercriminal activities.",safe,25,133,understand help look got look evolution common cybercriminal activity
35,"Back in the early 2000s, some of the earliest “botnet herders” made their income by relaying spam emails through infected computers.",attack-pattern,21,132,back early earliest botnet herder made income relaying spam email infected computer
36,"Over time, that business became less profitable due to anti-spam controls and ISPs preventing infected systems from directly relaying emails.",safe,20,141,time business became le profitable due antispam control isps preventing infected system directly relaying email
37,"In the mid-2000s, criminals made great profits from using Banking Trojans to steal credentials for online banking websites, and subsequently draining the accounts’ associated funds.",TIME,25,181,mids criminal made great profit using banking trojan steal credential online banking website subsequently draining account associated fund
38,"This account takeover activity continues today, but various anti-fraud measures and law enforcement actions have made it less profitable and riskier for criminals.",safe,23,163,account takeover activity continues today various antifraud measure law enforcement action made le profitable riskier criminal
39,"Another aspect of Banking Trojan infections is that, while the criminal may be infecting hosts indiscriminately, the value of the host greatly depends on the individual who owns it, and the criminals’ ability to “cash out” their bank account.",safe,39,242,another aspect banking trojan infection criminal may infecting host indiscriminately value host greatly depends individual owns criminal ability cash bank account
